,content,label
0,M là thành viên trong clup Exciter nếu bạn k có xe đi of có thể liên hệ ms minh,neutral
1,Và camera lồi lên 3mm :v,negative
2,Nhà a .chỉ có .wave .thôi .chứ k có Exciter mô ....@@,neutral
3,SH Mode co gan dc ko ad,neutral
4,bố VNPT Yen Phu mua cho zai đi,neutral
5,"Chào add, mình muốn hỏi là muốn mở đại ý của thương hiệu sữa TH True Milk thì cần những điều kiện ntn???",neutral
6,Cho e hỏi là...e đang chạy SH Mode 125 mà thấy máy nó hơi ì chạy ko bốc...mới mua đc vài tháng thôi...nếu lam nồi và canh cho xe bốc hơn xíu thì giá bao nhiu...tư vấn giùm e...tks nhìu,negative
7,"TH True Milk gợi ý cho các mẹ thực đơn bữa sáng ""siêu tốc"" với bánh quy và sữa tươi, bổ sung đầy đủ năng lượng cho bé thoải mái vui chơi cả ngày Tết nha. . #QuaTangMuaXuan #TetSumVay",positive
8,E nhớ là Viettel nó đéo viết tiếng việt nhé 😒,negative
9,ý em là báo nội dung ý. Như của i5 chẳng hạn,neutral
10,Mình cũng không rõ bạn mở bản WP mấy (10 hay mấy) Mình mở trên WP8 thì thất vọng hoàn toàn và không bao giờ muốn sử dụng lại nữa.,negative
11,"Hậu trường chụp Cô Tô đôi Việt Anh - Ngọc Hân ❤️❤️❤️ . Khi đi thì mưa bão hơi bập bùng nhưng may mắn luôn đến với ekip Louisvustudio, ngày chụp nắng ngập tràn rực rỡ 🎉🎉🎉",positive
12,Đó là những món quà của Gia đình Nestle. Rất tuyệt ạ,positive
13,"Là khách hàng trung thành với Sony..nhưng giờ thấy nản với Sony quá..Xperia XA không chống nước ? 1 loa phía trên,phía dưới không có loa,sao không cho các phím điều hướng ra ngoài ??? phải chăng Sony quá bảo thủ ?",negative
14,Nguyễn Cao Kỳ Duyên thanh lich phong cach rât đep và da tài very nice,positive
15,Hệ điều hành Windows Phone và cả Windows 10 Mobile không đáng để sử dụng :) Tiếc thay cho các máy Lumia với chất lượng phần cứng tốt nhưng lại có phần mềm hậu thuẫn quá kém cỏi.,negative
16,Rat dep,positive
17,"Đã nhận được quà, cảm ơn Kotex Girlspace nhé! ♡♡ . *đầm ngủ đẹp dã man, hí hí*",positive
18,Chắc dớt GTX 1060 hay RX 470 chứ 460 có vẻ hơi đuối... nhưng cho game online thì perfect,neutral
