,Unnamed: 0,content,label
0,0,mình là thành_viên trong clup exciter nếu bạn không có xe đi of có_thể liên_hệ ms_minh,neutral
1,1,và camera lồi lên mm,negative
2,2,nhà a chỉ có wave thôi chứ không có exciter mô,neutral
3,3,sh mode co gan được không ad,neutral
4,4,bố vnpt yen phu mua cho zai đi,neutral
5,5,chào add mình muốn hỏi là muốn mở đại_ý của thương_hiệu sữa th true milk thì cần những điều_kiện như_thế_nào,neutral
6,6,cho em hỏi là e đang chạy sh mode mà thấy máy nó hơi ì chạy không bốc mới mua được vài tháng thôi nếu lam nồi và canh cho xe bốc hơn xíu thì giá bao nhiu tư_vấn giùm e cảm_ơn nhìu,negative
7,7,th true milk gợi_ý cho các mẹ thực_đơn bữa sáng siêu_tốc với bánh_quy và sữa_tươi bổ_sung đầy_đủ năng_lượng cho bé thoải_mái vui_chơi cả ngày tết nha quatangmuaxuan tetsumvay,positive
8,8,em nhớ là viettel nó đéo viết tiếng việt nhé,negative
9,9,ý em là báo nội_dung ý như của i chẳng_hạn,neutral
10,10,mình cũng không rõ bạn mở bản wp mấy hay mấy mình mở trên wp thì thất_vọng hoàn_toàn và không bao_giờ muốn sử_dụng lại nữa,negative
11,11,hậu_trường chụp cô_tô đôi việt anh ngọc hân khi đi thì mưa_bão hơi bập_bùng nhưng may_mắn luôn đến với ekip louisvustudio ngày chụp nắng ngập_tràn rực_rỡ,positive
12,12,đó là những món quà của gia_đình nestle rất tuyệt ạ,positive
13,13,là khách_hàng trung_thành với sony nhưng giờ thấy nản với sony quá xperia xa không chống nước một loa phía trên phía dưới không có loa sao không cho các phím điều hướng ra ngoài phải_chăng sony quá bảo_thủ,negative
14,14,nguyễn_cao_kỳ duyên thanh lich phong cach rât đep và da tài very nice,positive
15,15,hệ_điều_hành windows phone và cả windows mười mobile không đáng để sử_dụng tiếc thay cho các máy lumia với chất_lượng phần_cứng tốt nhưng lại có phần_mềm hậu_thuẫn quá kém_cỏi,negative
16,16,rat dep,positive
